"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10725","testAcederLojaGoodies()","","Wed May 13 20:55:14 WEST 2026","passed","Wed May 13 20:55:24 WEST 2026","","iscteiul.ista.blackbattleship.UserStory9Test","iscteiul.ista.blackbattleship.UserStory9Test","testAcederLojaGoodies"
"","8831","US14 (Selenide): Aceder ao Portal de Developers","","Thu May 14 13:28:21 WEST 2026","passed","Thu May 14 13:28:29 WEST 2026","","iscteiul.ista.blackbattleship.tests_suite.tests.DevelopersSelenideTest","iscteiul.ista.blackbattleship.tests_suite.tests.DevelopersSelenideTest","testAcederPortalDevelopers"
"","30942","US03: Simulação de navegação humana aos Guias","","Wed May 13 20:35:15 WEST 2026","passed","Wed May 13 20:35:46 WEST 2026","","iscteiul.ista.blackbattleship.UserStory3Test","iscteiul.ista.blackbattleship.UserStory3Test","testUserStory3"
"","6593","US07: Aceder à Loja Virtual","","Wed May 13 20:36:02 WEST 2026","broken","Wed May 13 20:36:08 WEST 2026","","iscteiul.ista.blackbattleship.BattleshipTest","iscteiul.ista.blackbattleship.BattleshipTest","testShop"
"","8690","testAcederGooglePlay()","","Wed May 13 20:56:51 WEST 2026","passed","Wed May 13 20:57:00 WEST 2026","","iscteiul.ista.blackbattleship.UserStory13Test","iscteiul.ista.blackbattleship.UserStory13Test","testAcederGooglePlay"
"","37444","US03: Aceder aos Guias de Jogo","","Wed May 13 20:38:24 WEST 2026","passed","Wed May 13 20:39:01 WEST 2026","","iscteiul.ista.blackbattleship.BattleshipTest","iscteiul.ista.blackbattleship.BattleshipTest","testGameGuides"
"","45518","US01: Implementa teste de inicio de jogo contra robot","","Wed May 13 20:36:08 WEST 2026","passed","Wed May 13 20:36:54 WEST 2026","","iscteiul.ista.blackbattleship.BattleshipTest","iscteiul.ista.blackbattleship.BattleshipTest","testPlayBot"
"","28708","toolsMenu()","","Wed May 13 20:34:19 WEST 2026","broken","Wed May 13 20:34:48 WEST 2026","","iscteiul.ista.blackbattleship.MainPageTest","iscteiul.ista.blackbattleship.MainPageTest","toolsMenu"
"","8630","US13 (Selenide): Aceder à Google Play Store","","Thu May 14 13:24:07 WEST 2026","passed","Thu May 14 13:24:16 WEST 2026","","iscteiul.ista.blackbattleship.tests_suite.tests.MobileAppSelenideTest","iscteiul.ista.blackbattleship.tests_suite.tests.MobileAppSelenideTest","testAcederGooglePlay"
"","8118","testAcederPortalDevelopers()","","Wed May 13 20:57:08 WEST 2026","passed","Wed May 13 20:57:16 WEST 2026","","iscteiul.ista.blackbattleship.UserStory14Test","iscteiul.ista.blackbattleship.UserStory14Test","testAcederPortalDevelopers"
"","10715","US10 (Selenide): Aceder à criação de torneios","","Thu May 14 13:22:11 WEST 2026","passed","Thu May 14 13:22:22 WEST 2026","","iscteiul.ista.blackbattleship.tests_suite.tests.TournamentsSelenideTest","iscteiul.ista.blackbattleship.tests_suite.tests.TournamentsSelenideTest","testAcederCriacaoTorneio"
"","129526","US03 (Selenide): Aceder aos Guias de Jogo","","Wed May 13 20:39:02 WEST 2026","broken","Wed May 13 20:41:11 WEST 2026","","iscteiul.ista.blackbattleship.tests_suite.tests.GuidesSelenideTest","iscteiul.ista.blackbattleship.tests_suite.tests.GuidesSelenideTest","testGameGuidesWithSelenide"
"","71062","US09 (Selenide): Aceder à loja de merchandising","","Thu May 14 13:18:00 WEST 2026","passed","Thu May 14 13:19:11 WEST 2026","","iscteiul.ista.blackbattleship.tests_suite.tests.GoodiesSelenidePageTest","iscteiul.ista.blackbattleship.tests_suite.tests.GoodiesSelenidePageTest","testGoodiesStore"
"","13759","navigationToAllTools()","","Wed May 13 20:34:48 WEST 2026","broken","Wed May 13 20:35:02 WEST 2026","","iscteiul.ista.blackbattleship.MainPageTest","iscteiul.ista.blackbattleship.MainPageTest","navigationToAllTools"
"","8831","testAcederCriacaoTorneio()","","Wed May 13 20:56:22 WEST 2026","passed","Wed May 13 20:56:31 WEST 2026","","iscteiul.ista.blackbattleship.UserStory10Test","iscteiul.ista.blackbattleship.UserStory10Test","testAcederCriacaoTorneio"
"","36954","search()","","Wed May 13 20:33:42 WEST 2026","broken","Wed May 13 20:34:19 WEST 2026","","iscteiul.ista.blackbattleship.MainPageTest","iscteiul.ista.blackbattleship.MainPageTest","search"
"","89564","US12: Aceder à página de Pricing","","Wed May 13 20:36:54 WEST 2026","passed","Wed May 13 20:38:24 WEST 2026","","iscteiul.ista.blackbattleship.BattleshipTest","iscteiul.ista.blackbattleship.BattleshipTest","testPricing"
